action_kind,agent,avg_latency_s,avg_rate_bps,energy_j,final_edge,latency_s,matched,packet_loss,pair_id,route,scenario,task,time_s
WIRED_1HOP,PKW215,16.02715785821622,1250031.070876936,8.003801154772832,1,16.02715785821622,1,0.268941766273703,300.0:PKW215_300_1:PKW215,E0->E1,No-UAV-relay,PKW215_300_1,300.0
UAV_RELAY,PKW215,18.3605190129959,1250030.080543508,9.177150175837617,1,18.3605190129959,1,0.43444903637693966,300.0:PKW215_300_2:PKW215,UAV3->E1,UAV-relay,PKW215_300_2,300.0
WIRED_1HOP,PKW215,16.98699710748697,1250031.070876936,8.484029223083152,1,16.98699710748697,1,0.268941766273703,300.0:PKW215_300_2:PKW215,E0->E1,No-UAV-relay,PKW215_300_2,300.0
UAV_RELAY,PKW216,52.74829775942363,215343.6063273969,26.373364880987566,1,52.74829775942363,1,0.8692430087437908,300.0:PKW216_300_0:PKW216,UAV3->E1,UAV-relay,PKW216_300_0,300.0
WIRED_1HOP,PKW216,52.02266988714859,215343.60945924933,26.007190944850045,1,52.02266988714859,1,0.8309773346675268,300.0:PKW216_300_0:PKW216,E2->E1,No-UAV-relay,PKW216_300_0,300.0
UAV_RELAY,PKW216,72.72364375247528,215343.6063273969,36.357567303481865,1,72.72364375247528,1,0.8692430087437908,300.0:PKW216_300_1:PKW216,UAV3->E1,UAV-relay,PKW216_300_1,300.0
WIRED_1HOP,PKW216,71.72331389998182,215343.60945924933,35.85277037723513,1,71.72331389998182,1,0.8309773346675268,300.0:PKW216_300_1:PKW216,E2->E1,No-UAV-relay,PKW216_300_1,300.0
UAV_RELAY,PKW217,13.574752754297409,458079.234265174,6.747247827123705,2,13.574752754297409,1,0.6433744087615949,300.0:PKW217_300_2:PKW217,UAV4->E2,UAV-relay,PKW217_300_2,300.0
WIRED_1HOP,PKW217,13.134963683963093,457143.7737304702,6.563686856345546,4,13.134963683963093,1,0.5391759114045053,300.0:PKW217_300_2:PKW217,E3->E4,No-UAV-relay,PKW217_300_2,300.0
UAV_RELAY,PKW218,24.25229024723327,456916.5024556199,12.084858806316635,2,24.25229024723327,1,0.6444636242998931,300.0:PKW218_300_0:PKW218,UAV4->E2,UAV-relay,PKW218_300_0,300.0
WIRED_1HOP,PKW218,23.441897867708622,457547.757295092,11.71676813774231,4,23.441897867708622,1,0.5386855635493113,300.0:PKW218_300_0:PKW218,E3->E4,No-UAV-relay,PKW218_300_0,300.0
UAV_RELAY,PKW218,29.852108081742458,456916.5024556199,14.88060972874623,2,29.852108081742458,1,0.6444636242998931,300.0:PKW218_300_2:PKW218,UAV4->E2,UAV-relay,PKW218_300_2,300.0
WIRED_1HOP,PKW218,28.869577493820323,457547.757295092,14.42736375825016,4,28.869577493820323,1,0.5386855635493113,300.0:PKW218_300_2:PKW218,E3->E4,No-UAV-relay,PKW218_300_2,300.0
UAV_RELAY,PKW219,3.2746532879924266,2408063.3878101828,1.6356039819465464,6,3.2746532879924266,1,0.3385550865344815,300.0:PKW219_300_2:PKW219,UAV2->E6,UAV-relay,PKW219_300_2,300.0
DIRECT,PKW219,2.8272959637635644,2408059.380592655,1.4119253198321153,6,2.8272959637635644,1,0.1449828761758325,300.0:PKW219_300_2:PKW219,DIRECT_E6,No-UAV-relay,PKW219_300_2,300.0
UAV_RELAY,PKW225,59.622713734735505,215334.48351472095,29.76715071314275,2,59.622713734735505,1,0.869527104027517,300.0:PKW225_300_0:PKW225,UAV4->E2,UAV-relay,PKW225_300_0,300.0
WIRED_1HOP,PKW225,58.72682815566742,215303.9564028733,29.356377815844798,1,58.72682815566742,1,0.8310343354123433,300.0:PKW225_300_0:PKW225,E2->E1,No-UAV-relay,PKW225_300_0,300.0
UAV_RELAY,PKW225,43.42256008490242,215334.48351472095,21.66596413340121,2,43.42256008490242,1,0.869527104027517,300.0:PKW225_300_1:PKW225,UAV4->E2,UAV-relay,PKW225_300_1,300.0
